time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,att_phi,att_theta,att_psi,rate_p,rate_q,rate_r,Optical flow difference,Estimated divergence,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
131.695694,-0.112773,-0.003296,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,455.721636,8.926066,0,0,0,0
131.705460,-0.112781,-0.003296,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,455.721636,8.926066,0,0,0,0
131.715225,-0.112790,-0.003296,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,455.721636,8.926066,0,0,0,0
131.725006,-0.112798,-0.003297,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,455.721636,8.926066,0,0,0,0
131.734772,-0.112807,-0.003297,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,455.721636,8.926066,0,0,0,0
131.744537,-0.112815,-0.003297,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,455.721636,8.926066,0,0,0,0
131.754318,-0.112823,-0.003297,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,455.721636,8.926066,0,0,0,0
131.764084,-0.112832,-0.003298,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,455.721636,8.926066,0,0,0,0
131.773849,-0.112840,-0.003298,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,149.211857,7.121884,0,0,0,0
131.783615,-0.112848,-0.003298,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,149.211857,7.121884,0,0,0,0
131.793396,-0.112857,-0.003298,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,149.211857,7.121884,0,0,0,0
131.803162,-0.112865,-0.003299,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,149.211857,7.121884,0,0,0,0
131.812927,-0.112874,-0.003299,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,149.211857,7.121884,0,0,0,0
131.822708,-0.112882,-0.003299,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,149.211857,7.121884,0,0,0,0
131.832474,-0.112890,-0.003299,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,667.898941,-26.790430,0,0,0,0
131.842239,-0.112899,-0.003300,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,667.898941,-26.790430,0,0,0,0
131.852005,-0.112907,-0.003300,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,667.898941,-26.790430,0,0,0,0
131.861786,-0.112915,-0.003300,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,667.898941,-26.790430,0,0,0,0
131.871552,-0.112924,-0.003301,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,667.898941,-26.790430,0,0,0,0
131.881317,-0.112932,-0.003301,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,667.898941,-26.790430,0,0,0,0
131.891098,-0.112941,-0.003301,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,667.898941,-26.790430,0,0,0,0
131.900864,-0.112949,-0.003301,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,667.898941,-26.790430,0,0,0,0
131.910629,-0.112957,-0.003302,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,667.898941,-26.790430,0,0,0,0
131.920395,-0.112966,-0.003302,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,667.898941,-26.790430,0,0,0,0
131.930176,-0.112974,-0.003302,-0.034797,-0.005645,-0.000024,0.037326,0.000000,0.000732,-0.001465,-0.000196,0.234080,-0.000059,667.898941,-26.790430,0,0,0,0
